,ID,name,long,lat
393,C1E600,南勢 (Nanshi) (撤銷站),120.7042,24.4715
394,C1E500,卓蘭 (Jhuolan) (撤銷站),120.7345,24.5726
395,C1E510,新開 (Xinkai) (撤銷站),120.8112,24.3071
396,C1E450,象鼻 (Xiangbi) (撤銷站),120.8270,24.3476
397,C0E790,卓蘭 (Zhuolan) (撤銷站),120.9403,24.3685
398,C0E760,苑裡 (Yuanli) (撤銷站),120.8247,24.3127
399,C0E580,苑里 (Yuanli) (撤銷站),120.6582,24.4485
400,C0E530,三義 (Sanyi) (撤銷站),120.6801,24.4335
401,C0E440,大河 (Dahaes) (撤銷站),120.7659,24.4109
402,467550,玉山 (YUSHAN),120.9595,23.4876
403,467650,日月潭 (SUN MOON LAKE),120.9595,23.4876
404,C0H890,埔里 (Puli),120.9080,23.8813
405,C0H950,中寮 (Zhongliao),120.9524,23.9721
406,C0H960,草屯 (Caotun),120.7664,23.8844
407,C0H990,昆陽 (Kunyang),120.6808,23.9736
408,C0H9A0,神木村 (Shenmu Village),121.2736,24.1213
409,C0H9C0,合歡山 (Hehuan Mountain),120.8436,23.5327
410,C0I010,廬山 (Lushan),121.2725,24.1434
411,C0I080,信義 (Xinyi),121.1818,24.0333
412,C0I090,鳳凰 (Fonghuang),120.8510,23.6896
413,C0I110,竹山 (Zhushan),120.7873,23.7280
414,C0I360,水里 (Shuili),120.6881,23.7612
415,C0I370,魚池 (Yuchi),120.8497,23.8125
416,C0I380,集集 (Jiji),120.9413,23.8957
417,C0I390,仁愛 (Ren'ai),120.8014,23.8282
418,C0I410,名間 (Mingjian),121.1322,24.0221
419,C0I420,國姓 (Guoxing),120.7014,23.8370
420,C0I460,南投 (Nantou),120.8550,24.0378
421,C0I480,梅峰 (Meifeng),120.6873,23.9114
422,C0I490,萬大林道 (Wandalindao),121.1735,24.0852
423,C0I520,玉山風口 (Yushanfengkou),121.0914,23.9282
424,C0I530,小奇萊 (Xiaoqilai),120.9559,23.4704
425,C0I540,奇萊稜線 (Qilailengxian),121.2957,24.1317
426,C1H000,翠峰 (Cuifeng),121.3264,24.1092
427,C1H840,國三N238K (Freeway No. 3 - RAIN –N238K),121.2052,24.1093
428,C1H860,瑞岩 (Ruiyan),120.7077,23.8410
429,C1H900,清流 (Qingliu),121.1834,24.1237
430,C1H920,長豐 (Changfeng),121.1834,24.1237
431,C1H941,雙冬 (Shuangdong),120.8798,24.1020
432,C1H9B1,阿眉 (Amei),120.8021,23.9673
433,C1I020,萬大 (Wanda),120.9946,24.1263
434,C1I030,武界 (Wujie),121.1322,23.9798
435,C1H971,六分寮 (Liufenliao),121.0524,23.9132
436,C1I050,丹大 (Danda),120.6378,23.9250
437,C1I070,和社 (Heshe),121.1411,23.7537
438,C1I101,溪頭 (Xitou),120.8888,23.5911
439,C1I131,桶頭 (Tongtou),120.8076,23.6617
440,C1I140,卡奈托灣 (Kanaituowan),120.6541,23.6419
441,C1I150,青雲 (Qingyun),121.0878,23.7543
442,C1I121,大鞍 (Da-an),120.9493,23.7933
443,C1I201,中心崙 (Zhongxinlun),120.7600,23.6783
444,C1I400,凌霄 (Lingxiao),120.7120,23.7287
445,C1I430,翠華 (Cuihua),121.0044,24.0187
446,C1I440,新高口 (Xingaokou),121.2243,24.1919
447,C1I450,望鄉山 (Wangxiangshan),120.8789,23.4787
448,C1I470,杉林溪 (Shanlinxi),120.9442,23.5941
